Latitude,Longitude,Speed
40.232429,29.009088,9.69
40.232429,29.009088,9.69
40.232395,29.009082,14.13
40.232395,29.009082,14.13
40.23236,29.009084,15.17
40.232322,29.009094,18.08
40.232322,29.009094,18.08
40.232269,29.009098,22.98
40.232208,29.009099,26.91
40.232128,29.009101,31.08
40.23204,29.009107,35.61
40.231945,29.009109,39.47
40.231945,29.009109,39.47
40.231842,29.009109,43.37
40.231842,29.009109,43.37
40.231727,29.009111,46.82
40.231727,29.009111,46.82
40.23151,29.009111,38.17
40.23143,29.009113,29.39
40.231372,29.009115,29.39
40.23133,29.009119,13.2
40.23133,29.009119,13.2
40.231311,29.009122,5.33
40.231304,29.009122,1.41
40.231304,29.009122,1.41
40.231304,29.00912,0.93
40.231288,29.00912,5.59
40.231288,29.00912,5.59
40.231266,29.009122,10.57
40.231266,29.009122,10.57
40.231227,29.009124,15.61
40.231227,29.009124,15.61
40.231178,29.009126,20.48
40.231121,29.009128,25.22
40.231048,29.009128,29.72
40.231048,29.009128,29.72
40.230968,29.009128,34.17
40.230876,29.009128,38.02
40.230773,29.009126,42.04
40.230663,29.009128,45.73
40.230663,29.009128,45.73
40.230541,29.009132,48.69
40.230541,29.009132,48.69
40.23043,29.009136,42.5
40.230339,29.00914,34.15
40.230262,29.009141,26.22
40.230262,29.009141,26.22
40.230213,29.009145,18.09
40.230213,29.009145,18.09
40.230182,29.009145,9.98
40.230182,29.009145,9.98
40.230167,29.009147,3.0
40.230167,29.009147,3.0
40.230163,29.009147,1.02
40.230163,29.009147,1.02
40.230155,29.009149,2.04
40.230155,29.009149,2.04
40.230144,29.009149,7.02
40.230144,29.009149,7.02
40.230113,29.009151,12.13
40.230113,29.009151,12.13
40.230075,29.009151,16.91
40.230075,29.009151,16.91
40.230026,29.009151,22.0
40.230026,29.009151,22.0
40.229961,29.009153,26.58
40.229961,29.009153,26.58
40.229701,29.009155,39.73
40.229701,29.009155,39.73
40.229598,29.009155,43.39
40.229484,29.009157,46.99
40.229484,29.009157,46.99
40.229362,29.009159,49.19
40.229362,29.009159,49.19
40.229251,29.009159,42.26
40.22916,29.00916,35.34
40.229084,29.00916,28.8
40.229026,29.009162,22.46
40.228981,29.009162,16.43
40.228981,29.009162,16.43
40.22895,29.009164,10.7
40.22895,29.009164,10.7
40.228935,29.009164,5.83
40.228935,29.009164,5.83
40.228923,29.009164,4.04
40.228923,29.009164,4.04
40.228916,29.009164,3.41
40.228916,29.009164,3.41
40.228908,29.009162,2.8
40.228908,29.009162,2.8
40.228904,29.00916,1.74
40.228904,29.00916,1.74
40.228904,29.00916,0.7
40.228904,29.00916,0.7
40.228904,29.009159,0.13
40.228904,29.009159,0.13
40.228904,29.009159,0.0
40.228904,29.009159,0.0
40.228904,29.009159,0.07
40.228904,29.009159,0.07
40.228904,29.009159,0.07
40.228904,29.009159,0.07
40.228904,29.009159,0.02
40.228904,29.009159,0.02
40.228908,29.009159,0.02
40.228908,29.009159,0.02
40.228908,29.009159,0.04
40.228908,29.009159,0.04
40.228908,29.009159,0.02
40.228908,29.009159,0.02
40.228908,29.009159,0.06
40.228908,29.009159,0.06
40.228912,29.009159,0.02
40.228912,29.009159,0.02
40.228912,29.009159,0.04
40.228912,29.009159,0.04
40.228912,29.009159,0.0
40.228912,29.009159,0.0
40.228912,29.00916,0.09
40.228912,29.00916,0.09
40.228912,29.00916,0.06
40.228912,29.00916,0.06
40.228912,29.00916,0.26
40.228912,29.00916,0.26
40.228912,29.009159,0.02
40.228912,29.009159,0.02
40.228916,29.00916,0.13
40.228916,29.00916,0.13
40.228916,29.00916,0.07
40.228916,29.00916,0.07
40.228916,29.009159,0.02
40.228916,29.009159,0.02
40.228912,29.009159,0.04
40.228912,29.009159,0.04
40.228912,29.009159,0.33
40.228912,29.009159,0.33
40.228321,29.009265,0.28
40.228321,29.009265,0.28
40.228321,29.009265,0.02
40.228321,29.009265,0.02
40.228324,29.009265,0.33
40.228324,29.009265,0.33
40.228328,29.009263,1.7
40.228328,29.009263,1.7
40.22834,29.009267,6.82
40.22834,29.009267,6.82
40.228359,29.009269,7.09
40.228359,29.009269,7.09
40.228382,29.009273,10.91
40.228382,29.009273,10.91
40.228416,29.009275,15.0
40.228416,29.009275,15.0
40.228466,29.009275,20.83
40.228466,29.009275,20.83
40.228523,29.009273,24.52
40.228523,29.009273,24.52
40.228595,29.009269,28.71
40.228672,29.009273,32.58
40.228672,29.009273,32.58
40.228759,29.009275,34.74
40.228759,29.009275,34.74
40.228858,29.009271,40.61
40.228858,29.009271,40.61
40.228965,29.009267,44.17
40.22908,29.009263,45.82
40.229202,29.00926,49.04
40.229312,29.009256,43.28
40.229312,29.009256,43.28
40.2294,29.009252,32.43
40.229457,29.009252,22.69
40.229457,29.009252,22.69
40.229503,29.009252,16.52
40.229503,29.009252,16.52
40.229515,29.00925,2.56
40.229515,29.00925,2.56
40.229522,29.00925,3.69
40.229522,29.00925,3.69
40.22953,29.00925,1.09
40.22953,29.00925,1.09
40.229534,29.009252,2.07
40.229534,29.009252,2.07
40.229537,29.009252,1.8
40.229537,29.009252,1.8
40.229549,29.009256,4.85
40.229549,29.009256,4.85
40.229568,29.00926,7.37
40.229568,29.00926,7.37
40.229587,29.009262,9.54
40.229587,29.009262,9.54
40.229625,29.009258,14.98
40.229625,29.009258,14.98
40.229675,29.009256,21.41
40.229675,29.009256,21.41
40.229736,29.009252,27.47
40.229808,29.009248,30.72
40.229808,29.009248,30.72
40.229892,29.009244,35.95
40.229892,29.009244,35.95
40.229991,29.009241,41.98
40.229991,29.009241,41.98
40.230098,29.009237,44.52
40.230098,29.009237,44.52
40.230216,29.009235,48.45
40.230331,29.009237,46.08
40.230422,29.009241,33.54
40.230422,29.009241,33.54
40.230491,29.009241,24.87
40.230491,29.009241,24.87
40.230541,29.009241,18.35
40.230541,29.009241,18.35
40.230575,29.009239,11.46
40.230575,29.009239,11.46
40.230587,29.009237,3.56
40.230587,29.009237,3.56
40.23059,29.009237,2.04
40.23059,29.009237,2.04
40.230602,29.009237,5.02
40.230602,29.009237,5.02
40.230617,29.009239,6.54
40.230617,29.009239,6.54
40.230648,29.009241,15.08
40.230648,29.009241,15.08
40.230697,29.009241,19.76
40.230697,29.009241,19.76
40.230827,29.009244,29.84
40.230827,29.009244,29.84
40.230907,29.009246,34.15
40.230907,29.009246,34.15
40.230991,29.009246,32.76
40.230991,29.009246,32.76
40.231086,29.009241,38.8
40.231086,29.009241,38.8
40.231189,29.009235,41.08
40.231189,29.009235,41.08
40.231296,29.009227,43.84
40.231422,29.009223,48.65
40.231533,29.009218,41.47
40.231533,29.009218,41.47
40.23162,29.009212,33.41
40.231693,29.009204,26.61
40.231693,29.009204,26.61
40.231761,29.009197,26.37
40.231761,29.009197,26.37
40.231815,29.009197,19.43
40.231815,29.009197,19.43
40.231857,29.009201,15.67
40.231857,29.009201,15.67
40.231887,29.009206,12.3
40.231887,29.009206,12.3
40.231899,29.009202,6.06
40.231914,29.009199,5.7
40.231914,29.009199,5.7
40.231937,29.009202,9.15
40.231937,29.009202,9.15
40.231964,29.009208,11.37
40.231964,29.009208,11.37
40.23199,29.009216,12.28
40.23199,29.009216,12.28
40.232021,29.009227,13.87
40.232021,29.009227,13.87
40.232051,29.009239,13.24
40.232051,29.009239,13.24
40.232086,29.00925,13.3
40.232086,29.00925,13.3
40.232112,29.009256,13.3
40.232112,29.009256,13.3
40.232147,29.009258,13.11
40.232147,29.009258,13.11
40.232177,29.009256,13.17
40.232177,29.009256,13.17
40.232204,29.009244,11.96
40.232204,29.009244,11.96
40.232231,29.009222,11.98
40.232231,29.009222,11.98
40.232254,29.009195,11.57
40.232254,29.009195,11.57
40.232265,29.009164,10.8
40.232265,29.009164,10.8
40.232269,29.009134,9.32
40.232269,29.009134,9.32
40.232265,29.009105,8.39
40.232265,29.009105,8.39
40.232254,29.009084,7.13
40.232254,29.009084,7.13
40.232242,29.009069,8.15
40.232242,29.009069,8.15
40.232227,29.009052,8.82
40.232227,29.009052,8.82
40.232208,29.00904,9.33
40.232208,29.00904,9.33
40.232185,29.009033,10.26
40.232185,29.009033,10.26
40.232154,29.009029,11.76
