Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.22842,29.009281,9.43,-0.39,7.89,-6.19,-0.06,0.04,-0.02
40.22842,29.009281,9.43,-0.12,7.77,-5.98,-0.24,0.06,0.01
40.22842,29.009281,9.43,-0.32,8.06,-6.36,0.36,-0.05,-0.06
40.22842,29.009281,9.43,-0.16,7.7,-5.78,-0.34,0.09,0.03
40.22842,29.009281,9.43,0.13,7.98,-6.17,-0.1,0.04,-0.01
40.228454,29.009284,14.26,-0.05,7.83,-5.92,-0.11,0.06,-0.04
40.228454,29.009284,14.26,0.03,8.0,-6.17,-0.11,0.06,-0.03
40.228454,29.009284,14.26,0.22,7.75,-6.0,0.19,-0.01,-0.05
40.228454,29.009284,14.26,-0.06,7.76,-5.89,-0.16,0.07,-0.02
40.228454,29.009284,14.26,-0.08,7.86,-5.72,-0.27,0.09,-0.0
40.228496,29.009284,19.35,-0.02,7.81,-5.65,0.25,-0.03,-0.06
40.228496,29.009284,19.35,0.19,7.58,-6.11,-0.22,0.06,0.01
40.228496,29.009284,19.35,0.15,7.88,-5.34,0.07,0.02,-0.03
40.228496,29.009284,19.35,-0.03,8.0,-6.21,-0.06,0.02,-0.03
40.228496,29.009284,19.35,-0.0,7.62,-5.26,0.1,-0.02,-0.04
40.228557,29.009284,24.45,0.03,7.75,-6.71,0.08,-0.03,-0.03
40.228557,29.009284,24.45,0.47,7.94,-5.15,-0.03,0.06,-0.08
40.228557,29.009284,24.45,-0.11,8.47,-5.25,0.48,-0.01,-0.03
40.228557,29.009284,24.45,-0.07,7.27,-5.91,0.28,0.02,-0.08
40.228557,29.009284,24.45,0.62,7.92,-5.06,-0.38,0.08,-0.05
40.228626,29.009283,29.34,0.26,5.6,-4.25,-0.27,0.09,0.18
40.228626,29.009283,29.34,0.09,8.06,-6.11,-0.05,0.03,-0.0
40.228626,29.009283,29.34,0.01,7.72,-6.06,-0.01,0.01,-0.04
40.228706,29.009281,33.41,0.02,7.8,-6.03,-0.07,0.01,-0.0
40.228797,29.009279,37.97,-0.14,7.43,-5.77,-0.17,0.03,0.03
40.2289,29.009275,42.34,0.06,7.32,-5.86,-0.16,0.02,0.02
40.2289,29.009275,42.34,-0.18,7.75,-6.58,0.02,0.0,-0.02
40.2289,29.009275,42.34,-0.1,7.51,-5.88,-0.02,-0.0,0.01
40.229015,29.009273,45.91,-0.13,7.77,-6.57,-0.06,0.0,-0.01
40.229015,29.009273,45.91,-0.13,7.31,-5.95,-0.12,0.01,0.03
40.229133,29.009269,49.6,-0.2,7.57,-6.46,-0.09,0.02,-0.0
40.229133,29.009269,49.6,-0.19,7.5,-6.28,0.01,0.0,-0.02
40.229263,29.009267,52.47,-0.17,7.32,-6.69,0.02,0.01,-0.02
40.2294,29.009263,55.0,-0.26,7.63,-6.96,0.05,0.0,-0.04
40.2294,29.009263,55.0,0.01,7.31,-6.17,0.11,0.0,0.01
40.2294,29.009263,55.0,-0.23,7.53,-6.88,0.01,-0.01,-0.04
40.2294,29.009263,55.0,-0.28,7.35,-6.9,0.1,-0.03,-0.07
40.2294,29.009263,55.0,0.11,7.44,-6.3,0.15,-0.01,0.0
40.229541,29.009262,55.0,0.05,7.43,-6.27,0.06,-0.0,0.01
40.229541,29.009262,55.0,-0.29,7.08,-6.69,-0.03,0.0,-0.04
40.229541,29.009262,55.0,0.08,7.1,-6.22,0.24,-0.03,0.01
40.22969,29.00926,59.63,-0.09,7.13,-7.01,0.18,-0.04,-0.03
40.22969,29.00926,59.63,-0.3,7.41,-6.59,-0.11,0.01,-0.01
40.22969,29.00926,59.63,-0.32,7.37,-6.44,0.11,-0.02,-0.01
40.22969,29.00926,59.63,-0.48,7.41,-6.71,-0.13,0.01,0.02
40.22969,29.00926,59.63,-0.39,7.01,-6.48,-0.14,0.01,-0.0
40.22969,29.00926,59.63,-0.39,7.41,-7.08,0.09,-0.02,-0.04
40.229843,29.009258,61.67,-0.13,6.84,-7.0,0.08,-0.01,-0.02
40.229843,29.009258,61.67,-0.19,6.83,-6.6,0.07,-0.01,-0.0
40.229843,29.009258,61.67,-0.39,6.57,-7.66,0.07,0.0,-0.04
40.229843,29.009258,61.67,-0.27,6.67,-7.1,0.01,-0.0,0.02
40.229843,29.009258,61.67,-0.24,4.77,-7.83,0.12,-0.05,0.04
40.229843,29.009258,61.67,-0.84,5.27,-9.35,0.06,-0.02,0.03
40.229843,29.009258,61.67,-0.03,4.15,-8.94,0.08,0.03,0.06
40.229991,29.009254,59.88,-1.12,4.37,-9.7,0.32,-0.03,0.03
40.229991,29.009254,59.88,-0.64,4.27,-9.56,-0.21,0.0,-0.0
40.229991,29.009254,59.88,-0.74,4.13,-9.98,0.11,0.0,-0.04
40.230117,29.009252,46.21,-0.62,4.17,-10.0,0.12,-0.0,-0.02
40.230117,29.009252,46.21,-0.5,4.21,-9.63,-0.06,-0.02,-0.04
40.23027,29.00925,20.5,-0.88,4.97,-9.67,-0.07,-0.0,0.01
40.230297,29.009248,7.0,-0.88,5.69,-8.42,-0.07,-0.01,-0.02
40.230297,29.009248,7.0,0.76,7.75,-5.1,-0.48,-0.02,-0.05
40.230304,29.009246,0.37,-0.1,6.3,-6.65,-0.03,-0.04,0.04
40.230304,29.009246,0.37,-0.9,6.98,-6.67,-0.07,0.06,-0.04
40.230304,29.009246,0.37,-0.45,6.67,-7.08,0.06,-0.01,-0.03
40.230304,29.009241,0.02,-1.01,6.9,-6.81,0.02,-0.07,0.05
40.230304,29.009241,0.02,-0.41,6.35,-6.89,0.12,-0.09,0.11
40.230304,29.009241,0.02,-0.52,6.73,-7.65,0.22,-0.13,0.08
40.230304,29.009239,0.04,-0.18,5.72,-7.72,0.14,-0.05,0.07
40.230304,29.009239,0.04,-0.16,7.37,-6.95,-0.45,0.07,0.01
40.230304,29.009239,0.04,-0.5,7.26,-6.42,-0.0,-0.01,-0.05
40.230304,29.009239,0.13,-0.65,6.67,-6.79,0.24,0.08,-0.14
40.230304,29.009239,0.13,-0.46,6.92,-7.2,0.17,0.11,-0.07
40.230304,29.009239,0.04,-0.87,7.41,-6.98,0.06,0.02,-0.01
40.230304,29.009239,0.04,-0.64,6.56,-6.44,0.02,-0.2,0.1
40.230304,29.009239,0.04,-0.23,6.91,-7.33,-0.09,-0.1,0.14
40.230304,29.009239,0.04,-0.53,6.61,-7.07,0.02,-0.0,0.05
40.230304,29.009239,0.04,-0.36,7.13,-6.97,-0.07,-0.02,0.06
40.230487,29.009111,11.95,0.79,7.54,-5.86,-0.09,0.31,-0.31
40.230411,29.009094,17.72,0.46,7.98,-5.9,-0.03,0.13,-0.15
40.230411,29.009094,17.72,0.49,7.78,-5.89,0.02,0.12,-0.1
40.230243,29.009115,26.21,-0.6,7.46,-5.53,-0.11,-0.0,-0.01
40.22948,29.009138,37.97,-1.05,7.48,-6.57,0.05,-0.02,-0.04
40.229385,29.009136,38.41,-1.03,7.41,-6.43,0.01,0.03,0.01
40.229385,29.009136,38.41,-1.13,7.45,-6.6,0.08,-0.03,-0.03
40.229286,29.009134,38.56,-0.94,7.22,-6.7,0.09,-0.06,-0.03
40.22919,29.00913,38.67,-0.95,7.15,-6.42,-0.0,-0.03,-0.01
40.229091,29.009126,38.28,-0.75,7.11,-6.87,0.12,-0.05,-0.03
40.229091,29.009126,38.28,-0.79,6.83,-6.23,-0.07,0.03,0.02
40.229091,29.009126,38.28,-0.68,6.55,-6.07,-0.05,0.04,0.03
40.229,29.009122,37.3,-0.59,7.2,-6.95,-0.02,0.03,0.04
40.229,29.009122,37.3,-0.73,6.97,-6.48,-0.01,0.03,0.04
40.229,29.009122,37.3,-0.62,6.78,-6.3,-0.04,0.02,0.05
40.229,29.009122,37.3,-0.41,7.09,-7.16,-0.04,0.05,0.01
40.229,29.009122,37.3,-0.59,7.09,-6.55,-0.05,-0.0,0.0
40.229,29.009122,37.3,-0.43,6.66,-6.2,-0.06,0.03,0.02
40.228908,29.009119,36.43,-0.67,7.31,-7.23,0.03,-0.04,-0.02
40.228191,29.009092,12.46,1.04,6.97,-7.79,0.06,0.23,-0.21
40.228172,29.009204,9.46,0.83,7.35,-7.07,0.02,0.25,-0.28
40.228191,29.009233,11.15,-0.03,7.15,-6.78,0.05,0.19,-0.26
40.228263,29.009277,9.83,-0.52,6.91,-7.03,-0.02,0.12,-0.14
