Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.232429,29.009088,9.69,0.77,-0.59,9.46,0.1,-0.07,0.37
40.232429,29.009088,9.69,0.51,-0.2,8.14,-0.08,-0.04,0.37
40.232429,29.009088,9.69,1.0,-0.34,10.54,-0.08,0.02,0.37
40.232395,29.009082,14.13,0.48,-0.58,10.24,-0.0,0.01,0.33
40.232395,29.009082,14.13,0.09,-1.22,10.05,-0.04,0.0,0.23
40.232395,29.009082,14.13,-0.0,-0.66,10.5,-0.05,0.03,0.22
40.232395,29.009082,14.13,0.02,-0.88,9.92,-0.01,0.01,0.27
40.232395,29.009082,14.13,-0.12,-1.15,9.95,0.01,0.03,0.24
40.232395,29.009082,14.13,-0.31,-1.18,10.32,-0.02,0.03,0.21
40.232395,29.009082,14.13,-0.54,-1.02,10.38,-0.04,0.02,0.19
40.232395,29.009082,14.13,-0.58,-1.44,9.43,0.02,0.04,0.17
40.23236,29.009084,15.17,-0.8,-1.3,10.15,0.03,0.02,0.12
40.23236,29.009084,15.17,-0.52,-1.65,10.21,0.01,0.01,0.02
40.23236,29.009084,15.17,-1.22,-1.49,10.11,0.01,0.02,-0.0
40.232322,29.009094,18.08,-1.13,-1.78,9.56,0.02,0.02,-0.04
40.232322,29.009094,18.08,-1.45,-1.91,8.63,0.01,0.04,-0.06
40.232322,29.009094,18.08,-1.53,-1.58,10.27,-0.0,0.01,-0.06
40.232269,29.009098,22.98,-1.07,-1.83,8.74,-0.01,-0.03,-0.05
40.232269,29.009098,22.98,-0.65,-1.55,10.11,0.04,-0.04,-0.05
40.232269,29.009098,22.98,-0.64,-1.24,9.9,0.03,-0.04,-0.03
40.232269,29.009098,22.98,-0.23,-2.36,8.95,-0.02,-0.02,-0.01
40.232269,29.009098,22.98,-0.35,-1.86,8.97,0.06,-0.03,0.0
40.232269,29.009098,22.98,-0.63,-1.08,10.32,0.02,0.0,-0.01
40.232269,29.009098,22.98,-0.58,-1.75,9.3,0.03,-0.0,0.01
40.232269,29.009098,22.98,-0.52,-1.35,10.5,0.05,-0.01,0.02
40.232269,29.009098,22.98,-0.88,-0.91,11.26,0.01,-0.0,0.01
40.232208,29.009099,26.91,-0.44,-2.34,8.25,-0.01,0.0,0.01
40.232208,29.009099,26.91,-0.81,-0.62,10.41,0.02,-0.01,-0.0
40.232208,29.009099,26.91,-0.83,-1.52,8.61,0.01,0.03,-0.03
40.232208,29.009099,26.91,-0.79,-1.21,10.63,0.02,-0.01,-0.01
40.232208,29.009099,26.91,-0.53,-1.42,11.37,-0.07,-0.01,-0.03
40.232128,29.009101,31.08,-0.5,-1.23,11.2,-0.0,0.03,0.0
40.232128,29.009101,31.08,-1.03,-1.16,10.54,-0.02,-0.01,-0.0
40.232128,29.009101,31.08,-0.31,-1.86,8.94,0.06,-0.06,-0.0
40.232128,29.009101,31.08,-1.43,-1.36,11.07,-0.03,0.0,-0.01
40.232128,29.009101,31.08,-0.64,-1.72,10.28,0.01,0.01,-0.01
40.232128,29.009101,31.08,-1.35,-1.03,11.13,-0.04,0.03,-0.04
40.232128,29.009101,31.08,-0.28,-1.67,11.21,0.02,0.04,-0.02
40.232128,29.009101,31.08,-1.07,-0.98,11.32,0.01,0.04,-0.03
40.23204,29.009107,35.61,-1.24,-1.08,10.25,0.02,0.02,-0.03
40.23204,29.009107,35.61,-0.88,-1.65,8.63,0.07,0.0,0.03
