Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Timestamp,Speed_m/s,Kinetic_Energy,Total_Acceleration
40.232429,29.009088,9.69,0.77,-0.59,9.46,0.1,-0.07,0.37,2024-05-03 14:00:24.140,2.691666666666667,23546.47569444445,9.50960567005804
40.232429,29.009088,9.69,0.51,-0.2,8.14,-0.08,-0.04,0.37,2024-05-03 14:00:25.140,2.691666666666667,23546.47569444445,8.15841283584007
40.232429,29.009088,9.69,1.0,-0.34,10.54,-0.08,0.02,0.37,2024-05-03 14:00:26.140,2.691666666666667,23546.47569444445,10.59279000075051
40.232395,29.009082,14.13,0.48,-0.58,10.24,-0.0,0.01,0.33,2024-05-03 14:00:27.140,3.925,50068.28124999999,10.26763848214379
40.232395,29.009082,14.13,0.09,-1.22,10.05,-0.04,0.0,0.23,2024-05-03 14:00:28.140,3.925,50068.28124999999,10.124178979058007
40.232395,29.009082,14.13,-0.0,-0.66,10.5,-0.05,0.03,0.22,2024-05-03 14:00:29.140,3.925,50068.28124999999,10.520722408656166
40.232395,29.009082,14.13,0.02,-0.88,9.92,-0.01,0.01,0.27,2024-05-03 14:00:30.140,3.925,50068.28124999999,9.958975850959776
40.232395,29.009082,14.13,-0.12,-1.15,9.95,0.01,0.03,0.24,2024-05-03 14:00:31.140,3.925,50068.28124999999,10.016955625338468
40.232395,29.009082,14.13,-0.31,-1.18,10.32,-0.02,0.03,0.21,2024-05-03 14:00:32.140,3.925,50068.28124999999,10.39186701223606
40.232395,29.009082,14.13,-0.54,-1.02,10.38,-0.04,0.02,0.19,2024-05-03 14:00:33.140,3.925,50068.28124999999,10.443964764398624
40.232395,29.009082,14.13,-0.58,-1.44,9.43,0.02,0.04,0.17,2024-05-03 14:00:34.140,3.925,50068.28124999999,9.556929423198646
40.23236,29.009084,15.17,-0.8,-1.3,10.15,0.03,0.02,0.12,2024-05-03 14:00:35.140,4.213888888888889,57709.793595679,10.264136593011612
40.23236,29.009084,15.17,-0.52,-1.65,10.21,0.01,0.01,0.02,2024-05-03 14:00:36.140,4.213888888888889,57709.793595679,10.355529923668804
40.23236,29.009084,15.17,-1.22,-1.49,10.11,0.01,0.02,-0.0,2024-05-03 14:00:37.140,4.213888888888889,57709.793595679,10.291773413751393
40.232322,29.009094,18.08,-1.13,-1.78,9.56,0.02,0.02,-0.04,2024-05-03 14:00:38.140,5.022222222222222,81973.82716049382,9.789734419278187
40.232322,29.009094,18.08,-1.45,-1.91,8.63,0.01,0.04,-0.06,2024-05-03 14:00:39.140,5.022222222222222,81973.82716049382,8.956980518009404
